Theater name,Address,City,latitude,longitude,Start Date of Operation,Start Year,End Date of Operation,End Year,Number of seats,Owner and manager names,Body,Additional facts,Works cited
Hawthorne Theatre,707 1/2 Hawthorne Avenue (Today @ 2021 SE Hawthorne Boulevard),"Portland, OR",45° 30.73333' N,122° 38.70000' W,1915-01-01,1915,1934-01-01,1934,About 120,"Phil Carlin (Manager) , Current Owner: Chuck Nakvasil","The Hawthorne Theatre has had a long history of film exhibition. The theatre became known as the Hawthorne in 1915 and remained that way until 1934 when it became the Star Hawthorne. The building still stands today on 20th and Hawthorne as the Cinemagic Theater. The theater itself has always been a single screen theater, which shows the value that it has had in the community of East Portland to have survived the test of time. 
Front of the Cinemagic, formerly The Hawthorne Theatre.A part of the long-lasting success of the theater can be attributed to its location in the residential part of East Portland. According to Sanborn Maps, the theater was originally located next to a corner drugstore, a 21 car parking garage and numerous homes. The small community was able to walk to enjoy the theater's attractions whenever they wanted to. There was an instance where the theater put on a night for St. David's Episcopal Church in the area, offering entertainment acts such as films from the Mutal Film (absorbed by RKO) and variety acts. A man by the name of Henry I. Fisher, the owner of the Fisher, Thorsen & Company, a paint supplier, donated to the theater for the benefit of the church. 
 
Sanborn Fire Insurance Maps, Theatre's Location in the Portland Neighborhoods. 

 

 

      
            Taken from Historic Oregon Newspapers, the local theater exhibited a documentary production of the San Diego Exposition from 1915 which was a big news story at the time on the American West Coast. This allowed the community to get a visual experience of what was going on down south. 

The theater did not always have a successful exhibition experience on the east side of Portland. At some point between July 1st and September 1st  of 1915, the first year the theater was open, there was a robbery that resulted in the loss of two pianos used for theater exhibition.

According to The Film Daily, there was a fire that had resulted in $1,500 (about $28,000 today) sometime around 1936, when it was the Star Hawthorne, but still referred to by national scripts as the Hawthorne. The manager at that time, Phil Carlin, believed that the fire was started to distract from the robbery that had taken place within the theater as well. 

The theater itself is a testament to how history can be lost due to time and by the people documenting the history during the times. From 1916-1924, the theater was not listed in the Portland City Directory for each of those years. For an establishment that has withstood over 100 years of film exhibition in Portland (now known as Cinemagic), it is interesting that the directory did not list it for a decade. 

 ","Has been a theatre of some kind for over 100 years, Single screen, Neighborhood location","""Pianos, organs, and musical instruments."" The Oregon Daily Journal, 31 Oct. 1915. Historic Oregon Newspapers. https://oregonnews.uoregon.edu/lccn/sn83045782/1915-10-31/ed-1/seq-32/#date1=01%2F01%2F1915&city=&date2=12%2F31%2F1930&searchType=advanced&language=&sequence=0&index=11&words=Hawthorne+Theater&proxdistance=5&county=&frequency=&ortext=&proxtext=&phrasetext=Hawthorne+Theater&andtext=&rows=20&dateFilterType=yearRange&page=1
, ""City News in Brief."" Morning Oregonian, 11 May 1915. Historic Oregon Newspapers. https://oregonnews.uoregon.edu/lccn/sn83025138/1915-05-11/ed-1/seq-7/#date1=01%2F01%2F1900&city=&date2=12%2F31%2F1934&searchType=advanced&language=&sequence=0&lccn=&index=8&words=Hawthorne+Theater&proxdistance=5&county=&frequency=&ortext=&proxtext=&phrasetext=Hawthorne+Theater&andtext=&rows=20&dateFilterType=yearRange&page=1
, ""St David's Auxiliary Will Have Benefit."" The Oregon Daily Journal, 13 June 1916. Historic Oregon Newspapers. https://oregonnews.uoregon.edu/lccn/sn85042444/1916-06-13/ed-1/seq-11/
, ""A Sea of Paint."" The Oregon Daily Journal, 22 May 1914. Historic Oregon Newspapers. https://oregonnews.uoregon.edu/lccn/sn85042444/1914-05-22/ed-1/seq-3/#index=6&rows=20&proxtext=Fisher%2C+Thorsen+%26+Co&searchType=basic&sequence=0&words=Co+Fisher+Thorsen&page=1
, ""A glimpse of the San Diego Exposition."" 1915. The Library of Congress. https://www.loc.gov/item/00563595/
, ""Mutual Film."" 22 Feb. 2020. Wikipedia. https://en.wikipedia.org/wiki/Mutual_Film
, ""Pacific Northwest."" The Film Daily, May 1936. Newspapers. https://archive.org/stream/filmdailyvolume66970newy#page/952/mode/2up
, ""Visiting the Cinema."" Feb. 2020. The Cinemagic Theater. http://www.thecinemagictheater.com/about-the-cinema/
, ""Map Display, Portland 1924-1928 vol. 7, 1924, Sheet 746."" Sanborn Maps. http://sanborn.umi.com.libproxy.uoregon.edu/browse/or/7439/36249/37970/506487"
Heilig,"187 High St. NE, Salem, Oregon","Salem, OR",44° 56.45000' N,123° 2.21667' W,1925-09-12,1925,1926-06-01,1926,850,"George B. Guthrie, Archie Holt, Calvin Heilig, Charles McKee, William Pangle, Salem Amusement Company","The Heilig theater opened in September 1925 in the space formerly occupied by the Grand theater. Northwest theater entrepreneur Calvin Heilig took over ownership from the previous owner and placed Archie Holt, of the Pine Tree theater, as manager. After remodeling, the theater had 850 seats (1).

Within less than a year, however, George Guthrie resumed ownership of the theater. Guthrie also owned the Elsinore at that time.
Ownership and management of the new Heilig theater. The Capitol Journal, Apr. 25, 1912, p. 1. Newspapers.com. 

      
            The Heilig theater opens in Salem. Statesman Journal, Sept. 12, 1925, p. 8. Newspapers.com.The Daily Capitol Journal, June 1, 1926, p. 1. Newspapers.com. 

      
      
  
          
            While in operation the Heilig theater mainly featured vaudeville, films, live music, and theater performances. The newspaper advertisements packed a lot of information about the program, ticket prices, and special promotions. The ad at right provides a list of different ticket prices, but doesn't specify why they are different. The ad below promotes a program appealing to children, with an afternoon screening ""commencing immediately after school"" and special lower prices for ""kiddies.""
Capitol Journal, Jan. 13, 1926, p. 6. Newspapers.com. 

      
            Not a motion picture! Daily Capitol Journal, Oct. 6, 1925. Newspapers.com. ",Formerly the Grand theater,"1. ""Grand Theatre Will Be Heilig When Work of Remodelling [sic] Finished,"" The Capitol Journal, Sept. 1, 1925, p. 1. Newspapers.com."
Heilig,"676 Willamette St., Eugene, Oregon","Eugene, OR",44° 3.15000' N,123° 5.58333' W,1922-10-01,1922,1973-06-05,1973,760,C.W. McKee,"Heilig Theatre, Eugene, OR, 1934. Image courtesy of Lane County History Museum (item KE2846), 

      
            Heilig Theatre on Willamette St. looking north, Eugene, Oregon, 1960. Image courtesy of Lane County History Museum (item GN7340). ","Formerly the Eugene Theatre, Current site of the Hult Center",NA
Heilig Theatre,"NW Corner of Washington St. and 14th, Oregon","Portland, OR",45° 31.36667' N,122° 41.15000' W,1906-04-08,1906,1908-12-31,1908,"1,600","Calvin S. Heilig (Lessee), W.T. Pangle (Manager)","On March 26th of 1906, Calvin S. Heilig signed a 5-year lease for the Belasco Theater which he later renamed, by suggestion of friends, and opened as the Heilig Theater on April 8th, 1906. Calvin S. Heilig previously owned the Marquam Theater which didn't offer Sunday performances, something that Mr. Heilig says was often the only day people could make it out to a theater. The Belasco on the other hand did offer big Sunday performances, which created strong competition. Mr. Belasco was excited at the prospect of the Sunday shows.

The opening show at the Heilig was ""The Heir to the Hurrah"" as reported in the Morning Oregonian on March 27th, 1906. The Heilig seated more downstairs than Mr. Heilig’s previous venue the Marquam and primarily offered theatrical performances, but according to advertisements taken out in The Oregon Daily Journal on October 7th, 1906 also screened some films. With prices ranging from 25 cents to $2.50 depending on the performance, seat, day and time.

The Heilig was located at the NW corner of Washington St. and 14th Avenue which was previously the Belasco, and the Columbia before that. Bothe of the previous theaters has short lifespans. Its neighboring building, sharing 14th Avenue, with Hotel Danmoore which also opened in 1906 and is now the Crystal Ballroom","Formerly the Belasco, and the Columbia Theater before that, Its neighboring building is now the Crystal Ballroom","1. ""Map of Heilig location,"" Digital Sanborn Maps Portland 1908-1909 vol. 1, 1908, Sheet 77

2. ""Names Playhouse 'The Heilig' and Heilig Portrait,"" The Oregon Daily Journal., April 03, 1906: Oregon Historic Newspapers

3. ""Heilig Theatre programming advertisments,"" The Oregon Daily Journal, October 07, 1906: P21 Oregon Historic Newspapers

4. ""Takes the Belasco,"" The Morning Oregonian, March 27, 1906,: P16 Oregon Historic Newspapers"
Hippodrome Theater,Corner of SW Broadway and Yamhill,"Portland, OR",45° 31.11667' N,122° 40.80000' W,1916-05-11,1916,1922-12-31,1922,Unknown,"Ackerman and Harris, Tom Conlon, W.W. Ely","The history of the Hippodrome on SW Broadway and Yamhillbegins on April 11, 1916, as the theater was previously known as the Orpheum, gets bought out by the Hippodrome vaudeville circuit run by Ackerman and Harris. It was transformed into another Hippodrome theater and would become a part of the Northwest circuit of the company. The manager from December 12, 1916- April 17, 1917, was Tom Conlon. From April 17, 1917, until information runs out for theater the manager was W.W. Ely who was previously the manager of a Hippodrome in San Francisco but was transferred to Portland. While the theater began as a vaudeville only location as films began to gain more and more in popularity in American culture, it transformed into a film only theater. Searching through paper archives it can be seen that while there were standard programming bills and newspaper advertisements that demonstrated the collection of films that would be shown, there was a variety of other strategies as well. They would also have promotions and premiers that included the stars of the films and it would become a grand affair for the whole city. This is quite different from Portland today when there are very few premieres in Portland and celebrities rarely attend screenings in the city. 

There was also a variety of other events that were held at the theater including church masses and free shows for children to promote safety. One of the more fascinating aspects of researching the theater that also helped provide cultural context for the era was that in 1919 the theater added a garden to commemorate the conclusion of the first world war. It was a memorial to honor those who had fallen and was orchestrated by employees at the theater and not mandated by their owners. This detail helps add a human perspective to history and helps it come to life as a living history and not just words in a newspaper. There was also an article that had the manager W.W Ely describe how prohibition helped increase theater productivity and sales. The article does not explicitly mention the reasons for this, but one could assume that it was because of a combination of people needing more activities to participate in due to them not being allowed to drink, as well as more money available to spend on leisure activities. For some reason after December 31, 1922, the name Hippodrome Theater stops appearing and there is no evidence that the theater closed down or was sold.

      
            Going into this project I believed that conducting research that hasn’t already been studied would prove to be a daunting and disheartening task, but has actually proven to be quite enjoyable. Looking for specific items such as the seat numbers and fire map have proven quite difficult and the mystery of why the databases drop the Hippodrome is still a mystery I hope to solve, but when I am just gathering articles that describe the time period and the general day to day activities of the movie theater it is fascinating to learn. Quirky and strange oddities and promotions have proven to be the most enjoyable stuff to discover but also finding out how major historical events such as the First World War and Prohibition effected film going have proven to be the most striking. It demonstrates how films and the culture at large are always in a dialogue with each other and change depending on the social landscape. The Oregon Newspaper Database has proven to be the most helpful and most user-friendly platform for discovering new articles and advertisements for my theater. After discovering who the main manager was also helpful and I am in the process of discovering more about his background and how he ran the theater.",NA,"Sunday Oregonian, April 9, 1916, pg. 5, Oregon Historic Newspapers

Morning Oregonian, May 1, 1916, pg.4, Oregon Historic Newspapers

Morning Oregonian, December 13, 1916, pg.13, Oregon Historic Newspapers

Morning Oregonian, April 17, 1917, pg.7 Oregon Historic Newspapers

Morning Oregonian, April 25, 1918, pg.8, Oregon Historic Newspapers

Morning Oregonian, July 20, 1920, pg.13 Oregon Historic Newspapers"
Hollywood,"2005 N. Capitol St., Salem, Oregon","Salem, OR",44° 57.33333' N,123° 1.26667' W,1927-03-03,1927,1971-05-26,1971,550,"John Williamson, Al Krause","The Hollywood theater opened in north Salem in March 1927. The building also contained apartments. A special four-page ""Hollywood Theatre Section"" of the local Oregon Statesman newspaper provided a lengthy description of the theater's construction and architectural features, the owner and manager, and much more laudatory boosterism.

While the seating capacity was only 550, three thousand individuals attended the formal opening. This also shows the anticipation for the theater, and that it was very popular.
Daily Capital Journal, Mar. 4, 1927. Newspapers.com. 

      
            Oregon Statesman, Mar. 2, 1927, p. 1. Newspapers.com. 

      
      
  
          
            Here is an average program advertisement for the Hollywood theater. It includes the name of the theater, prices, and the name of the program.

The Hollywood theater had a unique logo. The style of the name was similar to that of the Hollywood sign, which is a smart stylistic choice. It not only makes the theater standout, but it also connects it to the allure of California. The fascination with celebrities and fame.

The theater continued to operate for forty years until it was demolished in 1971 (1). 

      
            Daily Capital Journal, Mar. 18, 1927. Newspapers.com. ",NA,"1. ""Hollywood Theatre's Last Film is Tonight,"" Statesman Journal, May 25, 1971, p. 1. Newspapers.com."
Hollywood Theater,"1196 NE Sandy Blvd., Portland, Oregon","Portland, OR",45° 32.13333' N,122° 37.23333' W,1926-07-17,1926,2022-06-21,2022,1500,"Owners: Claude C. Jensen and John G. von Herberg, , Managers: Walter E. Tebbetts, E. E. Marsh","The Hollywood Theater was built in 1926 by  the very successful Claude Jensen and John von Herberg.1 The duo hired Bennes & Herzog, architects from Portland, and they spent $500,000 (a fortune at the time) to build the luxurious, beautiful theater, the exterior of which is in a Spanish-Colonial style and the interior of which is modeled after the Roman baths of Caracalla and the famous basilica of St Pietro. This magnificent theater instantly transported every viewer that walked into it and carried them into magical Spain and Italy. The theater is filled with beautiful colors and architecture. In fact The Hollywood Theater was considered so grand and beautiful that in 1983 it was registered on the National Register of Historical Places. The Hollywood is one of only three movie houses in Portland that are on the National Register.2 Not only was The Hollywood Theater extremely beautiful, but it also played notorious new films that audiences were excited to see.  For example, on opening night the first film being shown was More Pay, Less Work, a short, silent film written by Peter Kyne.3 The Hollywood’s showing  was the film’s world premier, and audience members flocked to the theater in excitement. A subsequent film  shown in August was another silent film entitled The Plastic Age, a college story about the process of moulding boys into men and featuring Clare Bow and Donald Keith.4 While The Hollywood Theater showed mostly silent films,  they also featured vaudeville acts and hired a variety of other acts to come and perform. One such performer was Gene Dennis, who was booked at The Hollywood for a week and who the Hollywood Theater promised would “mystify audiences all over America”.5 Gene Dennis was one of the most famous people of the 1920s and the best known psychic-performer in America at that time. The Hollywood Theater being able to book the then-famous Ms. Dennis  evinces the reputation and popularity of the theater during that time. The Hollywood Theater was so renowned and popular that the entire surrounding neighborhood decided to change its name from the “Rosewood District” to the “Hollywood District.”6 Subsequently, however, The Hollywood Theater had to do a lot of difficult, creative marketing work to remain as popular as it was in the 1920s. The theater used a lot of modern promotional strategies to maintain and move up in the theater world. For example, The Hollywood had their name placed in various real estate ads7 in hope that the viewer would a) want to live in that vicinity because it was close to The Hollywood Theater, and b) would go to the theater because they lived near the theater. These real estate ads also had the benefit of  introducing The Hollywood Theater to new and broader audiences who happened to be looking to buy or rent housing. In addition, The Hollywood Theater advertised when they were upgrading their technology to pull in people with their improved technology and audiovisual quality. In May of 1928, The Hollywood Theater advertised that “Movietone-Vitaphone programs will be offered,” making The Hollywood the only theater on the east side [of Portland] presenting this form of diversion.”8 With its beautiful architecture and design, its promotional strategies and its impressive programming, The Hollywood Theater started at the top of its game and was able to maintain its stature in subsequent years. After opening night, the Sunday Oregonian praised The Hollywood Theater, writing, “the daring colors—the wealth of decoration and appointments of the theater itself dominated the scene and inspired enthusiastic comments of admiration from everyone present.”9 Not only was The Hollywood Theater a magnificent, beautiful place filled with elegance and curiosity, but it also left a lasting impact on the neighborhood. To this day, locals and others still love The Hollywood Theater as much as they did at its opening in 1926.

      
            While researching The Hollywood Theater, I found it much easier to find information than when I was researching The Ideal Theater. I think this is so because The Hollywood Theater is still open (and therefore of continued interest), while The Ideal Theater is long-closed. Also The Hollywood Theater was much more grand and therefore popular when it first opened than when The Ideal opened.  So The Hollywood Theater received a lot more press and more articles were written about it. To research The Hollywood I primarily used Newsbank.com and found articles about the theater’s Grand Opening, the programming at the theater, updates about the theater, and reviews of the experience at The Hollywood. I also used sources from the Oregon Historical Society, which is where I found a lot of my pictures of The Hollywood Theater. Then a couple of days ago, when I thought I was done with my research, my friend Emily from class texted me a link and said “Idk if you found this yet but here ya go.” I opened the link and it was a National Register of Historic Places Registration Form for the Frances Building and Echo Theater. At first I was confused but then I kept reading and realized a couple pages down the form was comparing The Echo with The Hollywood because The Hollywood is one of three theaters on the National Register. Once I realized it was on the National Register, I went to the National Archives catalog and found The Hollywood’s National Register of Historic Places Nomination Form from 1983. This find gave a lot of useful and descriptive information about The Hollywood that I was able to use in my write-up. I was also able to find the Sanborn Fire Map, but it took a lot of digging and patience, to help locate the Hollywood Theater.  When I began this process I didn't know The Hollywood Theater’s original address (or if the address had changed at all). All I had to go off of was the supposed current address of the theater, which was the corner of NE Broadway and Sandy Blvd. in Northeast Portland. To determine the exact address, I started by looking for Sandy and Broadway in the indices and then I moved on to adjacent streets. I was having no luck until, once again, Emily saved the day and showed me a picture she had taken in the Special Collections section of the library (which i probably should have just gone to in the first place). It was a picture of addresses of theaters in 1927, and there was The Hollywood Theater with its address shown as Sandy Blvd. and 41st Street (not Broadway). Once I had the correct address it was easy to find The Hollywood Theater’s location on the Sanborn map. I also had a difficult time figuring out who the owners and managers were because I found the names of many different owners and managers. I wasn’t sure which reports were correct. Also it was difficult to figure out who owned The Hollywood Theater because in the 1920s they used strange words to describe these higher up positions like “direction of Jensen and Von Herberg” or “presided over.” Those terms are not very specific so I was not sure if those terms really meant “owner,” “manager,” “contractor,”  or something else. Because of this I wasn't able to figure out exactly who built, managed and owned the theater. While I found that researching The Hollywood Theater was easier than others in most regards, some things gave me difficulty like the Sanborn map and past addresses of the theater, but I eventually found them with patience and persistence. And then this past Friday I made a sojourn to Portland, in part to locate and view The Hollywood Theater (I also visited the Bagdad Theater inside and out). The Hollywood Theater was as beautiful and majestic as I had read, and I understood why its allure had stood the test of time.","Home to a large and coveted collection of kung fu films, Projector collection includes a Kinetescope, or Edison projector, made during the silent era, The only theater in Oregon that can screen 70mm film","“Grand Opening! The Hollywood.” The Morning Oregonian, 17 July 1926, p. 9.
	
	
	National Register of Historic Places Registration Form, Frances building and Echo Theater, p. 8.
	
	
	“Neighborhood Theaters.” The Sunday Oregonian, 18 July 1926, p. 2.
	
	
	“At Neighborhood Theaters.” The Sunday Oregonian, 29 Aug. 1928, p.2
	
	
	“Gene Dennis Booked.” The Morning Oregonian, 17 March 1927. p.6.
	
	
	“Gene Dennis.” ForzoniMagic, forzonimagic.com/mindreaders-history/gene-dennis/
	
	
	“For Rent.” The Sunday Oregonian, 30 May 1927, p. 30.
	
	
	“New Policy Announced.” The Morning Oregonian, 28 March 1928, p.7.
	
	
	“Throngs Visit Hollywood Theater Here as New Building Opens to the Public.” The Sunday Oregonian, 18 July 1926, p. 2"
Houston's Opera House,"136 Main St., Klamath Falls, Oregon","Klamath Falls, OR",42° 13.35000' N,121° 47.10000' W,1897-01-01,1897,1920-09-06,1920,250,John V. Houston,"Houston Opera House, ca 1900. Bally Ho Band during annual Firemen's Ball at the Houston Opera House, about 1900. Photo Fred Houston, courtesy Klamath County Museum. 

      
      
  
          
            According to the Oregon Encyclopedia, John V. Houston started his opera house on Main Street in Klamath Falls in 1897. He operated it as a multipurpose event and community space for many years. The Opera House was more than a theater for film as it became the hub for the city’s arts & culture. Events such as dances, club meetings, sports events and church services were offered here. This wasn’t just a place to catch your favorite film but hypnotists, boxing matches, traveling circuses and more premiered here.
Klamath Falls Evening Herald, Feb. 27, 1908, p. 4. Historic Oregon Newspapers.There were around 250 seats at the Houston Opera House. Although, at the peak of its success with the introduction of vaudeville performances (melodramas, minstrel shows and more), nearly 700 people were trying to squeeze into the Opera House at one point.

The most notable motion picture showings found at the Opera House include The Battle Cry of Peace and The Escape.  Additionally, there were many performances of famous people at the time: Actors like Mary Pickford appeared on the big screen, screenings of D.W. Griffiths films were often features, many musicians performed… The list goes on and on.

Houston's Opera House was honored as the first theater in Klamath Falls with a Vitagraph machine. The Edison Projectoscope was used from 1901 onward, thus giving Klamath Falls and its citizens access to big titled names like Teddy Roosevelt’s Rough Riders in Cuba. This gave this small town in Oregon a look to another place in the world, because they may never get to see it in person themselves.

J.V. Houston was often found to try new ways of advertising. He was an innovator from the very beginning.

The early 1900s weren’t shy to have their blunt racism showed. At the time, it wasn’t defined as “racism” but just as the way things were. But looking back, it is interesting to see “blackface” widely advertised and accepted.

Houston's Opera House was destroyed on Labor Day 1920, due to a building across the street (Houston Hotel) going up in flames. The fire resulted in 13 deaths and much damage to buildings on Main & 2nd street.
Statesman Journal (Salem), Sept. 7, 1920, p. 1. Newspapers.com 

      
            Klamath Falls Evening Herald, June 18, 1908, p. 1. Historic Oregon Newspapers.Local movies at the Opera House. Klamath Falls Evening Herald, Feb. 7, 1916. Historic Oregon Newspapers.Klamath Falls Evening Herald, Feb. 7, 1916. Oregon Historic Newspapers.Klamath Falls Evening Herald, Aug. 12, 1914. Historic Oregon Newspapers. 

      
      
  
          
            Klamath Falls Evening Herald, Mar. 16, 1917. Historic Oregon Newspapers. ",NA,"1. “Houston Opera House Circa 1900” Oregon Encyclopedia. March 17, 2018 (last update).

2. “Klamath Falls to Show 16 & 17” The Evening Herald. February 7, 1916. 4.

3. “J.V. Houston Honored. The Evening Herald. December 24, 1913. 1.

4. “Houston’s Metropolitan Amusements” The Evening Herald. December 29, 1915. 4.

5.”Twentieth Mask Ball This Week” The Evening Herald. December 27, 1915. 4.

6. “Minstrels Will Show Two Nights” The Evening Herald. November 20, 1911. 1.

7. “Episcopal Services” The Evening Herald. December 10, 1915.

8. “Senior Class” The Evening Herald. April 21, 1914. 4.

9. “The Battle Cry of Peace” The Evening Herald. February 7, 1916. 4.

10.”‘The Escape’ Coming to The Opera House.” The Evening Herald. November 3, 1916. 5.

11.”Houston Opera House Experiment Astounds Musical Klamath Falls” November 10, 1916. 3.

12. “Flagpole is Used as a Billboard” The Evening Herald. August 12, 1914. 4.

13. “Clowns, blackface, Colonial, mexican…” The Evening Herald. December 29, 1915. 4.

14. “The Last Days of Pompeii” The Evening Herald. March 16, 1917. 4.

15. ""Ten Die in Klamath Falls Fire."" Statesman Journal, Sept. 7, 1908. 1."
Hub Theater,109 West 1 Street,"Albany, OR",44° 38.23333' N,123° 6.30000' W,1912-01-01,1912,1916-01-01,1916,Unnkown,C. T. Searls,"The Semi-Weekly Democratic, April 8, 1913, pg.3 Newspapers.com The Article Above:

During the early 1900s advertisements where what made or broke entertainment facilities such as theaters. When looking at the advertisement above the most important thing to take away is that when theaters made updates in order to please the audiences it needed to be heard and the best way to do so is in an advertisement. Adding a 700$ sound system in order to completely submerse the audience is the equivalent to how IMAX is today. Not only was this the next big thing in the film industry it is what separated the good theaters from the bad. Competition is everything, especially when the cost to rent and run film in such a large piece of property is so high. How theaters spent there earnings had to be very precise because if the theater down the street renovated the seats to be more comfortable what's to say that numbers at the Hub would be lower?

 

      
            The Article Below: 

The first page of the semi weekly news reporting that a fire had occurred in the Hub Theater. During the early 1900s fires where common in theaters and often where the reason why theaters went under. What happened at the Hub was 5000 feet of film, a moving picture machine, a rectifier and motor where all damaged. No lives where lost but the owner at the time C.T. Searl stated that there was no insurance on the items and the result of that would be closure until the following Friday. These small fires that destroy the very thing that makes theaters money is one of the biggest reasons why they would go out of business. Thank goodness no lives where lost and injures had, as that would have turned into a large lawsuit for the Hub.
The Semi-Weekly Democrat, June 19, 1914, pg. 1 Newspapers.com 

      
      
  
          
            Albany Democratic-Daily, November 20, 1915, pg. 4 Newspapers.comThe Article Above:

When talking about how advertisements make or break a theater the most important aspect is catching the readers attention when they flip through the newspaper. The tactics used in the advertisement above where not uncalled for as the whole goal was too print big letters that are bolded in order to take up the most space possible. Not only does the Hub theater focus on the format of this adviretisment to be simple and robust they sneak in a comment about ""children"". This was a common tactic to use being if parents wanted to see a film then they could bring their kids and wouldn't  have to leave them home with a baby sitter. When looking at the bigger picture it would end up being more revenue for the theater in the long run as more people are attending films. 

 

      
             

 ",NA,"1. Advertisement,  Albany Democratic-Herald, April 29, 1959, pg. 2 Newspapers.com

2. Advertisement, Albany Democratic-Herald, October 18, 1918, pg.3 Newspapers.com

3. Advertisement, Albany Democratic-Herald, March 23, 1915, pg.6 Newspapers.com

4. Advertisement, Albany Democratic-Daily, November 20, 1915, pg. 4 Newspapers.com

5. Advertisement, The Semi-Weekly Democrat, June 19, 1914, pg. 1 Newspapers.com

6. Advertisement, The Semi-Weekly Democratic, April 8, 1913, pg.3 Newspapers.com "
Ideal Theatre,801-1/2 Thurman Street,"Portland, OR",45° 32.13333' N,122° 42.06667' W,1912-01-01,1912,1927-12-31,1927,300,"Conrad LeBlanc, George C. Maple, H.C. Phelps, H.C. Phillips, C.E. Yeager","The Ideal Theater was built and designed in 1912 by Emil Schachts & Sons and commissioned by the original owner, Conrad LeBlanc. By the end of 1912, the theater opened for business as a silent movie house and was extremely popular for its small neighborhood feel with only 300 seats (8). The Ideal Theater used extensive advertising in newspapers around Portland to spread the news of their exquisite theater. For example, in The Oregon Daily Journal, the Ideal Theater advertised its movie house as having some of the best lighting and seating in Portland, “giving each person in the audience an equal chance to hear and see”(1).
The Ideal Theater, Image Courtesy of Cinema Treasures.Unfortunately, the Ideal Theater did not remain in the best shape and did not have the best of luck. In May of 1918 the Ideal Theater experienced a fire in the projection room as a result of a film reel breaking during the middle of a film (2). Luckily, however, W.H. Meyers, the film operator, was in the room and was able to put it out without major damage. Then in January of 1922 the Ideal Theater was involved in a burglary and was robbed of some of its precious equipment and films (3). Some of the more valuable pieces were, however, recovered after two boys confessed to the burglary. 

      
            While the Ideal theater did experience many setbacks, it also was very successful in bringing in popular movies and always filling the seats of its theater for any show, through its advertising in both the local and larger newspapers. For example, in August of 1915 an ad was placed in The Oregon Daily Journal for the film The Diamond in the Sky, by Roy McCardell, claiming the film was “a remarkable achievement in motion picture art (4).” Another ad was placed in The Oregon Daily Journal in January of 1917 for the film Pearl Of the Army, which was directed by Edward José (5). Then in March of 1922 an exquisite ad was placed in The Oregon Daily Journal (6) for Paramount Picture’s 10th anniversary, letting the public know that Paramount would be playing their best films at certain theaters in Portland, and that the Ideal Theater would be one of those. The Ideal theater also dabbled in putting on benefits at the theater, and on March 17 of 1915 the theater ""ran a set of highly entertaining films for the benefit of the Chapman School."" The money from the night was put in a fund at the disposal of the parent teacher association for them to use towards the school and the night was a smashing success (7).

After its opening in 1912, the Ideal Theater continued to flourish. In 1927, remodeling construction began on the theater. The theater’s facade was remodeled to give it a nicer look, and the entry room’s ceiling was vaulted so the theater would be able to add a sound film projection booth. Right after this remodel, however, in 1927 the theater’s name was changed to the Senate Theater, and the name Ideal Theater was never to be seen again. However, The Senate theater only lasted for a few years before its name was changed again to The Bluebird theater in 1930. 
The Ideal Theater, Image courtesy of Cinema Treasures. ",Now a photography and design studio,"1. Winner, Vella. “Club Activities.” The Oregon Daily Journal, 5 Apr. 1915, pp. 6–6.
, 2. “Theater Fire Is Contained to Film Room, Preventing a Panic.” The Oregon Daily Journal, 15 May 1918, p. 11.
, 3. “Two Boys Confess Four Burglaries: Recover Property.” The Oregon Daily Journal, 17 Jan. 1922, p. 18.
, 4. “The Diamond From the Sky.” The Oregon Daily Journal, 2 Aug. 1915, p. 2.
, 5. “The Man of the Hour Ralph Kellard.” The Oregon Daily Journal, 3 Jan. 10917, p. 4.
, 6. “Paramounts 10th Anniversary.” The Oregon Sunday Journal, 5 Mar. 1922, p. 47.
, 7. ""Chapman School."" The Sunday Oregonian, 28 Mar. 1915, p. 6.
, 8. Portland City Directory, 1913.
,  

 "
