"Movie Name","Release Year","Director","Age Difference","Actor 1 Name","Actor 1 Gender","Actor 1 Birthdate","Actor 1 Age","Actor 2 Name","Actor 2 Gender","Actor 2 Birthdate","Actor 2 Age"
"Stone","2010","John Curran","32","Robert De Niro","man","1943-08-18","67","Milla Jovovich","woman","1975-12-17","35"
"The Private Lives of Pippa Lee","2009","Rebecca Miller","32","Alan Arkin","man","1934-03-26","75","Robin Wright","woman","1966-04-08","43"
"Third Person","2013","Paul Haggis","32","Liam Neeson","man","1952-06-07","61","Olivia Wilde","woman","1984-03-10","29"
"Elegy","2008","Isabel Coixet","31","Ben Kingsley","man","1943-12-31","65","Penelope Cruz","woman","1974-04-28","34"
"Mighty Aphrodite","1995","Woody Allen","31","Woody Allen","man","1935-12-01","60","Helena Bonham Carter","woman","1966-05-26","29"
"A View to a Kill","1985","John Glen","30","Roger Moore","man","1927-10-14","58","Mary Stavin","woman","1957-08-20","28"
"Enemy of the State","1998","Tony Scott","30","Jon Voight","man","1938-12-29","60","Anna Gunn","woman","1968-08-11","30"
"For Your Eyes Only","1981","John Glen","30","Roger Moore","man","1927-10-14","54","Carole Bouquet","woman","1957-08-18","24"
"Funny Face","1957","Stanley Donen","30","Fred Astaire","man","1899-05-10","58","Audrey Hepburn","woman","1929-05-04","28"
"Kindergarten Cop 2","2016","Don Michael Paul","30","Dolph Lundgren","man","1957-11-03","59","Darla Taylor","woman","1987-01-31","29"
"Sabrina","1954","Billy Wilder","30","Humphrey Bogart","man","1899-12-25","55","Audrey Hepburn","woman","1929-05-04","25"
"The Quiet American","1958","Joseph L. Mankiewicz","30","Michael Redgrave","man","1908-03-20","50","Giorgia Moll","woman","1938-01-14","20"
"A Single Man","2009","Tom Ford","29","Colin Firth","man","1960-09-10","49","Nicholas Hoult","man","1989-12-07","20"
"A View to a Kill","1985","John Glen","29","Roger Moore","man","1927-10-14","58","Fiona Fullerton","woman","1956-10-10","29"
"Arbitrage","2012","Nicholas Jarecki","29","Richard Gere","man","1949-08-31","63","Laetitia Casta","woman","1978-05-11","34"
"Bulworth","1998","Warren Beatty","29","Warren Beatty","man","1937-03-30","61","Halle Berry","woman","1966-08-14","32"
"Mank","2020","David Fincher","29","Gary Oldman","man","1958-03-21","62","Tuppence Middleton","woman","1987-02-21","33"
"Sense and Sensibility","1995","Ang Lee","29","Alan Rickman","man","1946-02-21","49","Kate Winslet","woman","1975-10-05","20"
"The Departed","2006","Martin Scorsese","29","Jack Nicholson","man","1937-04-22","69","Kristen Dalton","woman","1966-02-14","40"
"The Man Who Wasn't There","2001","Joel Coen","29","Billy Bob Thornton","man","1955-08-04","46","Scarlett Johansson","woman","1984-11-22","17"
"A Perfect Murder","1998","Andrew Davis","28","Michael Douglas","man","1944-09-25","54","Gwyneth Paltrow","woman","1972-09-27","26"
"A View to a Kill","1985","John Glen","28","Roger Moore","man","1927-10-14","58","Tanya Roberts","woman","1955-10-15","30"
"Café Society","2016","Woody Allen","28","Steve Carell","man","1962-08-16","54","Kristen Stewart","woman","1990-04-09","26"
"Crazy Heart","2009","Scott Cooper","28","Jeff Bridges","man","1949-12-04","60","Maggie Gyllenhaal","woman","1977-11-16","32"
"Gangster Squad","2013","Ruben Fleischer","28","Sean Penn","man","1960-08-17","53","Emma Stone","woman","1988-11-06","25"
"Last Tango in Paris","1972","Bernardo Bertolucci","28","Marlon Brando","man","1924-04-03","48","Maria Schneider","woman","1952-03-27","20"
"Love in the Afternoon","1957","undefined","28","Gary Cooper","man","1901-05-07","56","Audrey Hepburn","woman","1929-05-04","28"
"Magic in the Moonlight","2014","Woody Allen","28","Colin Firth","man","1960-09-10","54","Emma Stone","woman","1988-11-06","26"
"Freeheld","2015","Peter Sollett","27","Julianne Moore","woman","1960-12-03","55","Ellen Page","woman","1987-02-21","28"
"Six Days, Seven Nights","1998","Ivan Reitman","27","Harrison Ford","man","1942-07-13","56","Anne Heche","woman","1969-05-25","29"
"Tadpole","2002","Gary Winick","27","Aaron Stanford","man","1976-12-27","26","Sigourney Weaver","woman","1949-10-08","53"
"The Oranges","2012","Julian Farino","27","Hugh Laurie","man","1959-06-11","53","Leighton Meester","woman","1986-04-09","26"
"The Squid and the Whale","2005","Noah Baumbach","27","Jeff Daniels","man","1955-01-19","50","Anna Paquin","woman","1982-07-24","23"
"You Should Have Left","2020","David Koepp","27","Kevin Bacon","man","1958-07-08","62","Amanda Seyfried","woman","1985-12-03","35"
"As Good as It Gets","1997","James L. Brooks","26","Jack Nicholson","man","1937-04-22","60","Helen Hunt","woman","1963-06-15","34"
"Behind the Candelabra","2013","Steven Soderbergh","26","Michael Douglas","man","1944-09-25","69","Matt Damon","man","1970-10-08","43"
"Black Mass","2015","Scott Cooper","26","Johnny Depp","man","1963-06-09","52","Dakota Johnson","woman","1989-10-04","26"
"Die Another Day","2002","Lee Tamahori","26","Pierce Brosnan","man","1953-05-16","49","Rosamund Pike","woman","1979-01-27","23"
"High Society","1956","Charles Walters","26","Bing Crosby","man","1903-05-03","53","Grace Kelly","woman","1929-11-12","27"
"I Love Trouble","1994","Charles Shyer","26","Nick Nolte","man","1941-02-08","53","Julia Roberts","woman","1967-10-28","27"
"Indecent Proposal","1993","Adrian Lyne","26","Robert Redford","man","1936-08-18","57","Demi Moore","woman","1962-11-11","31"
"Manhattan","1979","Woody Allen","26","Woody Allen","man","1935-12-01","44","Mariel Hemingway","woman","1961-11-22","18"
"Phantom Thread","2017","Paul Thomas Anderson","26","Daniel Day-Lewis","man","1957-04-29","60","Vicky Krieps","woman","1983-10-04","34"
"The Color of Money","1986","Martin Scorsese","26","Paul Newman","man","1925-01-26","61","Helen Shaver","woman","1951-02-24","35"
"Amelia","2009","Mira Nair","25","Richard Gere","man","1949-08-31","60","Hilary Swank","woman","1974-07-30","35"
"Charade","1963","Stanley Donen","25","Cary Grant","man","1904-01-18","59","Audrey Hepburn","woman","1929-05-04","34"
"Chloe","2009","Atom Egoyan","25","Julianne Moore","woman","1960-12-03","49","Amanda Seyfried","woman","1985-12-03","24"
"Knock Knock","2015","Eli Roth","25","Keanu Reeves","man","1964-09-02","51","Lorenza Izzo","woman","1989-09-19","26"
"Love Actually","2003","Richard Curtis","25","Alan Rickman","man","1946-02-21","57","Heike Makatsch","woman","1971-08-13","32"
"Rumor Has It...","2005","Rob Reiner","25","Richard Jenkins","man","1947-05-03","58","Jennifer Taylor","woman","1972-04-19","33"
"Seabiscuit","2003","Gary Ross","25","Jeff Bridges","man","1949-12-04","54","Elizabeth Banks","woman","1974-02-10","29"
"Spun","2002","Jonas Åkerlund","25","Mickey Rourke","man","1952-09-16","50","Brittany Murphy","woman","1977-11-10","25"
"State of the Union","1948","Frank Capra","25","Spencer Tracy","man","1900-04-05","48","Angela Lansbury","woman","1925-10-16","23"
"The Misfits","1961","John Huston","25","Clark Gable","man","1901-02-01","60","Marilyn Monroe","woman","1926-06-01","35"
"To Have and Have Not","1944","Howard Hawks","25","Humphrey Bogart","man","1899-12-25","45","Lauren Bacall","woman","1924-09-16","20"
"Vertigo","1958","Alfred Hitchcock","25","James Stewart","man","1908-05-20","50","Kim Novak","woman","1933-02-13","25"
"World's Greatest Dad","2009","Bobcat Goldthwait","25","Robin Williams","man","1951-07-21","58","Alexie Gilmore","woman","1976-01-01","33"
"15 Minutes","2001","John Herzfeld","24","Robert De Niro","man","1943-08-18","58","Melina Kanakaredes","woman","1967-04-23","34"
"American Gangster","2007","Ridley Scott","24","Denzel Washington","man","1954-12-28","53","Lymari Nadal","woman","1978-02-11","29"
"Beyond the Sea","2004","Kevin Spacey","24","Kevin Spacey","man","1959-07-26","45","Kate Bosworth","woman","1983-01-02","21"
"Cleaner","2007","Renny Harlin","24","Ed Harris","man","1950-11-28","57","Eva Mendes","woman","1974-03-05","33"
"Dark Shadows","2012","Tim Burton","24","Johnny Depp","man","1963-06-09","49","Bella Heathcote","woman","1987-05-27","25"
"Halloween III: Season of the Witch","1982","Tommy Lee Wallace","24","Tom Atkins","man","1935-11-13","47","Stacey Nelkin","woman","1959-09-10","23"
"Knock Knock","2015","Eli Roth","24","Keanu Reeves","man","1964-09-02","51","Ana de Armas","woman","1988-04-30","27"
"Live and Let Die","1973","Guy Hamilton","24","Roger Moore","man","1927-10-14","46","Jane Seymour","woman","1951-02-15","22"
"Moonraker","1979","Lewis Gilbert","24","Roger Moore","man","1927-10-14","52","Emily Bolton","woman","1951-06-15","28"
"Surrogates","2009","Jonathan Mostow","24","Bruce Willis","man","1955-03-19","54","Rosamund Pike","woman","1979-01-27","30"
"The Horse Whisperer","1998","Robert Redford","24","Robert Redford","man","1936-08-18","62","Kristin Scott Thomas","woman","1960-05-24","38"
"A Walk in the Woods","2015","Ken Kwapis","23","Robert Redford","man","1936-08-18","79","Emma Thompson","woman","1959-04-15","56"
"En kongelig affaere","2012","Nikolaj Arcel","23","Mads Mikkelsen","man","1965-11-22","47","Alicia Vikander","woman","1988-10-03","24"
"Flight","2012","Robert Zemeckis","23","Denzel Washington","man","1954-12-28","58","Kelly Reilly","woman","1977-07-18","35"
"Hobbs & Shaw","2019","David Leitch","23","Jason Statham","man","1967-07-26","52","Eiza Gonzalez","woman","1990-01-30","29"
"Moonraker","1979","Lewis Gilbert","23","Roger Moore","man","1927-10-14","52","Corinne Clery","woman","1950-03-23","29"
"Octopussy","1983","John Glen","23","Roger Moore","man","1927-10-14","56","Kristina Wayborn","woman","1950-09-24","33"
"Sabrina","1995","Sydney Pollack","23","Harrison Ford","man","1942-07-13","53","Julia Ormond","woman","1965-01-04","30"
"Seeking a Friend for the End of the World","2012","Lorene Scafaria","23","Steve Carell","man","1962-08-16","50","Keira Knightley","woman","1985-03-26","27"
"The Details","2011","Jacob Aaron Estes","23","Ray Liotta","man","1954-12-18","57","Kerry Washington","woman","1977-01-31","34"
"The Duchess","2008","Saul Dibb","23","Ralph Fiennes","man","1962-12-22","46","Keira Knightley","woman","1985-03-26","23"
"The First Wives Club","1996","Hugh Wilson","23","Victor Garber","man","1949-03-16","47","Elizabeth Berkley","woman","1972-07-28","24"
"The Man with the Golden Gun","1974","Guy Hamilton","23","Christopher Lee","man","1922-06-27","52","Maud Adams","woman","1945-02-12","29"
"The Rum Diary","2011","Bruce Robinson","23","Johnny Depp","man","1963-06-09","48","Amber Heard","woman","1986-04-22","25"
"Autumn in New York","2000","Joan Chen","22","Richard Gere","man","1949-08-31","51","Winona Ryder","woman","1971-10-29","29"
"Focus","2015","Glenn Ficarra, John Requa","22","Will Smith","man","1968-09-25","47","Margot Robbie","woman","1990-07-02","25"
"Live and Let Die","1973","Guy Hamilton","22","Roger Moore","man","1927-10-14","46","Madeline Smith","woman","1949-08-02","24"
"Live and Let Die","1973","Guy Hamilton","22","Roger Moore","man","1927-10-14","46","Gloria Hendry","woman","1949-03-03","24"
"Luci del varietà","1951","Federico Fellini","22","Peppino De Filippo","man","1903-08-24","48","Carla Del Poggio","woman","1925-12-02","26"
"The Mummy","2017","Alex Kurtzman","22","Tom Cruise","man","1962-07-03","55","Annabelle Wallis","woman","1984-09-25","33"
"The Other Woman","2014","Nick Cassavetes","22","Nikolaj Coster-Waldau","man","1970-07-27","44","Kate Upton","woman","1992-06-10","22"
"The Prom","2020","Ryan Murphy","22","Keegan-Michael Key","man","1971-03-22","49","Meryl Streep","woman","1949-06-22","71"
"The Royal Tenenbaums","2001","Wes Anderson","22","Bill Murray","man","1950-09-21","51","Gwyneth Paltrow","woman","1972-09-27","29"
"Up Close & Personal","1996","Jon Avnet","22","Robert Redford","man","1936-08-18","60","Michelle Pfeiffer","woman","1958-04-29","38"
"A View to a Kill","1985","John Glen","21","Roger Moore","man","1927-10-14","58","Grace Jones","woman","1948-05-19","37"
"Blame","2017","Quinn Shephard","21","Chris Messina","man","1974-08-11","43","Quinn Shephard","woman","1995-02-28","22"
"Bugsy","1991","Barry Levinson","21","Warren Beatty","man","1937-03-30","54","Annette Bening","woman","1958-05-29","33"
"Deja Vu","2006","Tony Scott","21","Denzel Washington","man","1954-12-28","52","Paula Patton","woman","1975-12-05","31"
"Don Jon","2013","Joseph Gordon-Levitt","21","Joseph Gordon-Levitt","man","1981-02-17","32","Julianne Moore","woman","1960-12-03","53"
"Edge of Tomorrow","2014","Doug Liman","21","Tom Cruise","man","1962-07-03","52","Emily Blunt","woman","1983-02-23","31"
"For Your Eyes Only","1981","John Glen","21","Roger Moore","man","1927-10-14","54","Cassandra Harris","woman","1948-12-15","33"
"Heat","1995","Michael Mann","21","Robert De Niro","man","1943-08-18","52","Amy Brenneman","woman","1964-06-22","31"
"Husbands and Wives","1992","Woody Allen","21","Sydney Pollack","man","1934-07-01","58","Judy Davis","woman","1955-04-23","37"
"It's Complicated","2009","Nancy Meyers","21","Alec Baldwin","man","1958-04-03","51","Lake Bell","woman","1979-03-24","30"
"Just Go with It","2011","Dennis Dugan","21","Adam Sandler","man","1966-09-09","45","Brooklyn Decker","woman","1987-04-12","24"
"King Arthur","2004","Antoine Fuqua","21","Clive Owen","man","1964-10-03","40","Keira Knightley","woman","1985-03-26","19"
"Licence to Kill","1989","John Glen","21","Timothy Dalton","man","1946-03-21","43","Talisa Soto","woman","1967-03-27","22"
"My Cousin Vinny","1992","Jonathan Lynn","21","Joe Pesci","man","1943-02-09","49","Marisa Tomei","woman","1964-12-04","28"
"Rear Window","1954","Alfred Hitchcock","21","James Stewart","man","1908-05-20","46","Grace Kelly","woman","1929-11-12","25"
"Richard III","1995","Richard Loncraine","21","Ian McKellen","man","1939-05-25","56","Kristin Scott Thomas","woman","1960-05-24","35"
"Teacher's Pet","1958","George Seaton","21","Clark Gable","man","1901-02-01","57","Doris Day","woman","1922-04-03","36"
"The Bubble","2022","Judd Apatow","21","Pedro Pascal","man","1975-04-02","47","Maria Bakalova","woman","1996-06-04","26"
"The Royal Tenenbaums","2001","Wes Anderson","21","Gene Hackman","man","1930-01-30","71","Anjelica Huston","woman","1951-07-08","50"
"The Verdict","1982","Sidney Lumet","21","Paul Newman","man","1925-01-26","57","Charlotte Rampling","woman","1946-02-05","36"
"Tomorrow Never Dies","1997","Roger Spottiswoode","21","Pierce Brosnan","man","1953-05-16","44","Cecilie Thomsen","woman","1974-10-29","23"
"V for Vendetta","2005","James McTeigue","21","Hugo Weaving","man","1960-04-04","45","Natalie Portman","woman","1981-06-09","24"
"American Beauty","1999","Sam Mendes","20","Kevin Spacey","man","1959-07-26","40","Mena Suvari","woman","1979-02-13","20"
"Get Smart","2008","Peter Segal","20","Steve Carell","man","1962-08-16","46","Anne Hathaway","woman","1982-11-12","26"
"Jurassic Park","1993","Steven Spielberg","20","Sam Neill","man","1947-09-14","46","Laura Dern","woman","1967-02-10","26"
"Killer Joe","2011","William Friedkin","20","Matthew McConaughey","man","1969-11-04","42","Juno Temple","woman","1989-07-20","22"
"L.A. Story","1991","Mick Jackson","20","Steve Martin","man","1945-08-14","46","Sarah Jessica Parker","woman","1965-03-25","26"
"Moonraker","1979","Lewis Gilbert","20","Roger Moore","man","1927-10-14","52","Lois Chiles","woman","1947-04-15","32"
"Notes on a Scandal","2006","Richard Eyre","20","Andrew Simpson","man","1989-01-01","17","Cate Blanchett","woman","1969-05-14","37"
"Patch Adams","1998","Tom Shadyac","20","Robin Williams","man","1951-07-21","47","Monica Potter","woman","1971-06-30","27"
"Pushing Tin","1999","Mike Newell","20","Billy Bob Thornton","man","1955-08-04","44","Angelina Jolie","woman","1975-06-04","24"
"Regarding Henry","1991","Mike Nichols","20","Harrison Ford","man","1942-07-13","49","Rebecca Miller","woman","1962-09-15","29"
"Singin' in the Rain","1952","Stanley Donen, Gene Kelly","20","Gene Kelly","man","1912-08-23","40","Debbie Reynolds","woman","1932-04-01","20"
"The Duchess","2008","Saul Dibb","20","Ralph Fiennes","man","1962-12-22","46","Hayley Atwell","woman","1982-04-05","26"
"The Fifth Element","1997","Luc Besson","20","Bruce Willis","man","1955-03-19","42","Milla Jovovich","woman","1975-12-17","22"
"The Northman","2022","Robert Eggers","20","Alexander Skarsgard","man","1976-08-25","46","Anya Taylor-Joy","woman","1996-04-16","26"
"The Only Living Boy in New York","2017","Marc Webb","20","Pierce Brosnan","man","1953-05-16","64","Kate Beckinsale","woman","1973-07-26","44"
"The Spy Who Loved Me","1977","Lewis Gilbert","20","Roger Moore","man","1927-10-14","50","Barbara Bach","woman","1947-08-27","30"
"Training Day","2001","Antoine Fuqua","20","Denzel Washington","man","1954-12-28","47","Eva Mendes","woman","1974-03-05","27"
"Virginia","2010","Dustin Lance Black","20","Ed Harris","man","1950-11-28","60","Jennifer Connelly","woman","1970-12-12","40"
"Water for Elephants","2011","Francis Lawrence","20","Christoph Waltz","man","1956-10-04","55","Reese Witherspoon","woman","1976-03-21","35"
"American Pie","1999","Paul Weitz, Chris Weitz","19","Eddie Kay Thomas","man","1980-10-31","19","Jennifer Coolidge","woman","1961-08-28","38"
"An American in Paris","1951","Vincente Minnelli","19","Gene Kelly","man","1912-08-23","39","Leslie Caron","woman","1931-07-01","20"
"Baby Driver","2017","Edgar Wright","19","Jon Hamm","man","1971-03-10","46","Eiza Gonzalez","woman","1990-01-30","27"
"Birdman","2014","Alejandro González Iñárritu","19","Edward Norton","man","1969-08-18","45","Emma Stone","woman","1988-11-06","26"
"Buffalo '66","1998","Vincent Gallo","19","Vincent Gallo","man","1961-04-11","37","Christina Ricci","woman","1980-02-12","18"
"Firewall","2006","Richard Loncraine","19","Harrison Ford","man","1942-07-13","64","Virginia Madsen","woman","1961-09-11","45"
"Gone Girl","2014","David Fincher","19","Ben Affleck","man","1972-08-15","42","Emily Ratajkowski","woman","1991-06-07","23"
"Mighty Aphrodite","1995","Woody Allen","19","Peter Weller","man","1947-06-24","48","Helena Bonham Carter","woman","1966-05-26","29"
"Mother's Day","2016","Garry Marshall","19","Timothy Olyphant","man","1968-05-20","48","Shay Mitchell","woman","1987-04-10","29"
"Män som hatar kvinnor","2009","Niels Arden Oplev","19","Michael Nyqvist","man","1960-11-08","49","Noomi Rapace","woman","1979-12-28","30"
"Skyfall","2012","Sam Mendes","19","Daniel Craig","man","1968-03-02","44","Tonia Sotiropoulou","woman","1987-04-28","25"
"Street Kings","2008","David Ayer","19","Keanu Reeves","man","1964-09-02","44","Martha Higareda","woman","1983-08-24","25"
"Suburban Girl","2007","Marc Klein","19","Alec Baldwin","man","1958-04-03","49","Sarah Michelle Gellar","woman","1977-04-14","30"
"Suicide Squad","2016","David Ayer","19","Jared Leto","man","1971-12-26","45","Margot Robbie","woman","1990-07-02","26"
"The Bridges of Madison County","1995","Clint Eastwood","19","Clint Eastwood","man","1930-05-31","65","Meryl Streep","woman","1949-06-22","46"
"The Lord of the Rings","2001","Peter Jackson","19","Viggo Mortensen","man","1958-10-20","43","Liv Tyler","woman","1977-07-01","24"
"The Mothman Prophecies","2002","Mark Pellington","19","Richard Gere","man","1949-08-31","53","Debra Messing","woman","1968-08-15","34"
"The Naked Gun","1988","David Zucker","19","Leslie Nielsen","man","1926-02-11","62","Priscilla Presley","woman","1945-04-24","43"
"Thunderball","1965","Terence Young","19","Adolfo Celi","man","1922-07-27","43","Claudine Auger","woman","1941-04-26","24"
"Transcendence","2014","Wally Pfister","19","Johnny Depp","man","1963-06-09","51","Rebecca Hall","woman","1982-05-03","32"
"A Single Man","2009","Tom Ford","18","Colin Firth","man","1960-09-10","49","Matthew Goode","man","1978-04-03","31"
"All I See Is You","2017","Marc Forster","18","Jason Clarke","man","1969-07-17","48","Blake Lively","woman","1987-08-25","30"
"Always Be My Maybe","2019","Nahnatchka Khan","18","Keanu Reeves","man","1964-09-02","55","Ali Wong","woman","1982-04-19","37"
"Austin Powers in Goldmember","2002","Jay Roach","18","Mike Myers","man","1963-04-25","39","Beyonce Knowles","woman","1981-09-04","21"
"Avengers: Infinity War","2018","Joe & Anthony Russo","18","Paul Bettany","man","1971-05-27","47","Elizabeth Olsen","woman","1989-02-16","29"
"Big Eyes","2014","Tim Burton","18","Christoph Waltz","man","1956-10-04","58","Amy Adams","woman","1974-08-20","40"
"Color of Night","1994","Richard Rush","18","Bruce Willis","man","1955-03-19","39","Jane March","woman","1973-03-20","21"
"Guess Who's Coming to Dinner","1967","John Huston","18","Sidney Poitier","man","1927-02-20","40","Katharine Houghton","woman","1945-03-10","22"
"Milk","2008","Gus Van Sant","18","Sean Penn","man","1960-08-17","48","James Franco","man","1978-04-19","30"
"Octopussy","1983","John Glen","18","Roger Moore","man","1927-10-14","56","Maud Adams","woman","1945-02-12","38"
"Once","2007","John Carney","18","Glen Hansard","man","1970-04-21","37","Marketa Irglova","woman","1988-02-28","19"
"Pretty Woman","1990","Garry Marshall","18","Richard Gere","man","1949-08-31","41","Julia Roberts","woman","1967-10-28","23"
"Quantum of Solace","2008","Marc Forster","18","Daniel Craig","man","1968-03-02","40","Gemma Arterton","woman","1986-02-02","22"
"Raising Helen","2004","Garry Marshall","18","John Corbett","man","1961-05-09","43","Kate Hudson","woman","1979-04-19","25"
"Random Hearts","1999","Sydney Pollack","18","Harrison Ford","man","1942-07-13","57","Kristin Scott Thomas","woman","1960-05-24","39"
"Replicas","2018","Jeffrey Nachmanoff","18","Keanu Reeves","man","1964-09-02","54","Alice Eve","woman","1982-02-06","36"
"Runaway Bride","1999","Garry Marshall","18","Richard Gere","man","1949-08-31","50","Julia Roberts","woman","1967-10-28","32"
"Rushmore","1998","Wes Anderson","18","Bill Murray","man","1950-09-21","48","Olivia Williams","woman","1968-07-26","30"
"Scarface","1983","Brian De Palma","18","Al Pacino","man","1940-04-25","43","Michelle Pfeiffer","woman","1958-04-29","25"
"Something's Gotta Give","2003","Nancy Meyers","18","Keanu Reeves","man","1964-09-02","39","Diane Keaton","woman","1946-01-05","57"
"St. Vincent","2014","Theodore Melfi","18","Bill Murray","man","1950-09-21","64","Naomi Watts","woman","1968-09-28","46"
"Tadpole","2002","Gary Winick","18","Aaron Stanford","man","1976-12-27","26","Bebe Neuwirth","woman","1958-12-31","44"
"The Killing of a Chinese Bookie","1976","John Cassavetes","18","Ben Gazzara","man","1930-08-28","46","Azizi Johari","woman","1948-08-24","28"
"The Man with the Golden Gun","1974","Guy Hamilton","18","Roger Moore","man","1927-10-14","47","Maud Adams","woman","1945-02-12","29"
"The Rum Diary","2011","Bruce Robinson","18","Aaron Eckhart","man","1968-03-12","43","Amber Heard","woman","1986-04-22","25"
"The World Is Not Enough","1999","Michael Apted","18","Pierce Brosnan","man","1953-05-16","46","Denise Richards","woman","1971-02-17","28"
"Tommy Boy","1995","Peter Segal","18","Brian Dennehy","man","1938-07-09","57","Bo Derek","woman","1956-11-20","39"
"Whatever Works","2009","Woody Allen","18","Larry David","man","1947-07-02","62","Jessica Hecht","woman","1965-06-28","44"
"Yes Man","2008","Peyton Reed","18","Jim Carrey","man","1962-01-17","46","Zooey Deschanel","woman","1980-01-17","28"
"Zombieland: Double Tap","2019","Ruben Fleischer","18","Woody Harrelson","man","1961-07-23","58","Rosario Dawson","woman","1979-05-09","40"
"47 Ronin","2013","Carl Rinsch","17","Keanu Reeves","man","1964-09-02","49","Ko Shibasaki","woman","1981-08-05","32"
"An Affair to Remember","1957","Leo McCarey","17","Cary Grant","man","1904-01-18","53","Deborah Kerr","woman","1921-09-30","36"
"Avengers: Age of Ultron","2015","Joss Whedon","17","Mark Ruffalo","man","1967-11-22","48","Scarlett Johansson","woman","1984-11-22","31"
"Blade Runner","1982","Ridley Scott","17","Harrison Ford","man","1942-07-13","40","Sean Young","woman","1959-11-20","23"
"Closer","2004","Mike Nichols","17","Clive Owen","man","1964-10-03","40","Natalie Portman","woman","1981-06-09","23"
"Draft Day","2014","Ivan Reitman","17","Kevin Costner","man","1955-01-18","59","Jennifer Garner","woman","1972-04-17","42"
"Free Guy","2021","Shawn Levy","17","Ryan Reynolds","man","1976-10-23","45","Jodie Comer","woman","1993-03-11","28"
"GoldenEye","1995","Martin Campbell","17","Pierce Brosnan","man","1953-05-16","42","Izabella Scorupco","woman","1970-06-04","25"
"Green Book","2018","Peter Farrelly","17","Viggo Mortensen","man","1958-10-20","60","Linda Cardellini","woman","1975-06-25","43"
"Husbands","1970","John Cassavetes","17","John Cassavetes","man","1929-12-09","41","Jenny Runacre","woman","1946-08-18","24"
"Joker","2019","Todd Phillips","17","Joaquin Phoenix","man","1974-10-28","45","Zazie Beetz","woman","1991-05-28","28"
"Kindergarten Cop","1990","Ivan Reitman","17","Arnold Schwarzenegger","man","1947-07-30","43","Penelope Ann Miller","woman","1964-01-13","26"
"Knock Knock","2015","Eli Roth","17","Keanu Reeves","man","1964-09-02","51","Ignacia Allamand","woman","1981-08-29","34"
"Laggies","2014","Lynn Shelton","17","Sam Rockwell","man","1968-11-05","46","Keira Knightley","woman","1985-03-26","29"
