ID,CREATE DATE,Status,Shortage Type,Primary Usages,Household Support,Water Issues,Approximate Issue Start Date,County,CITY,LATITUDE,LONGITUDE,Well Depth,Was Issue Resolved?,Approximate Repair Cost,Additional Info,Well to Water Depth,Measure Date,Pump Rate Reduction,Report Date,StatusType,Region
3124,09/23/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/05/2015,El Dorado,Pilot Hill,38.79552,-121.039598,300ft,"No, cannot afford to finance solutions.
",,"We are looking at borrowing money to put in a storage tank to truck in water, although I am not sure how long we can afford this solution.  It is roughly $270 for 1500 gallons of water to be delivered plus $5000 to put in a storage system.  We just purchased the home and are also facing the cleaning of a former rat and mouse infestation in the home that will require environmental considerations that have a large cost attached.  The home is nearly unlivable and creating an unhealthy environment for my 7 year old",,,,09/23/2015,Outage,Inland
3141,09/30/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",09/30/2015,San Luis Obispo,PASO ROBLES,35.66099,-120.599636,,,,,,,,09/30/2015,Outage,Southern
3161,09/02/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/01/2015,Mariposa,Mariposa,37.446633,-119.82176,78.0,"No, trucking in water
,Well Assistance Program
",,,,,It's no longer producing any water,09/02/2015,Outage,Inland
3162,09/02/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/01/2015,Mariposa,Mariposa,37.501072,-119.824958,205.0,"No, trucking in water
,Well Assistance
",,,,,"Yes, about a 30-40% reduction",09/02/2015,Outage,Inland
3163,09/02/2015,Resolved,Dry well (groundwater),Household,owner-occupied,"Reduction in water pressure, lower flows.
",02/04/2014,San Diego,Dulzura,32.620471,-116.750424,90 ft. (dry) 500 ft (low flow ~20gal/day)),"Yes, drilled replacement well.
",,,,,,09/02/2015,Resolved,Southern
3164,09/03/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/30/2015,Mariposa,Catheys Valley,37.465952,-120.072613,225.0,"No, trucking in water
,Well Assistance program
",,,50.0,03/18/1978,It's no longer producing any water,09/03/2015,Outage,Inland
3165,09/08/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/15/2015,Mariposa,Coulterville,37.770835,-120.177971,45.0,"No, trucking in water
,Well Assistance Program
",,,39.0,09/03/2015,It's no longer producing any water,09/08/2015,Outage,Inland
3172,09/08/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",08/01/2015,Mariposa,Catheys Valley,37.439169,-120.087281,,"No, trucking in water
,Well Assistance Program
",,,33.0,09/09/2015,"Yes, about a 30-40% reduction",09/08/2015,Outage,Inland
3174,09/08/2015,Outage,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",08/01/2015,Mariposa,Mariposa,37.476363,-119.959236,,"No, trucking in water
,Well Assistance Program
",,,,,It's no longer producing any water,09/08/2015,Outage,Inland
4391,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Orosi,36.565272,-119.271917,,,,,,,,10/23/2014,Resolved,Inland
4393,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Exeter,36.3252263,-119.084298,,,,,,,,11/03/2014,Resolved,Inland
4395,08/12/2016,Interim,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Dinuba,36.493603,-119.336982,,,,,,,,11/03/2014,Resolved,Inland
4398,08/12/2016,Outage,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Woodlake,36.37943,-119.129873,maybe 35',,,,,,,11/10/2014,Outage,Inland
4400,08/12/2016,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Orosi,36.5449147,-119.2981549,,,,,,,,11/13/2014,Outage,Inland
4403,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0598095,-118.9869806,,,,,,,,11/21/2014,Resolved,Inland
4405,08/12/2016,Interim,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Exeter,36.2530019,-119.1363117,,,,,,,,11/21/2014,Resolved,Inland
4406,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Visalia,36.29874,-119.356464,140',,,,,,,11/26/2014,Resolved,Inland
4407,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.058445,-118.9982062,,,,,,,,12/01/2014,Resolved,Inland
4408,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0619558,-118.9865253,,,,,,,,12/01/2014,Resolved,Inland
4410,08/12/2016,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Lindsay,36.2463921,-119.0760931,,,,,,,,12/01/2014,Outage,Inland
4411,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Visalia,36.299101,-119.355572,maybe 160',,,,,,,12/04/2014,Resolved,Inland
4412,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.2077288,-119.3473379,220 feet,,,,,,,12/03/2014,Resolved,Inland
4413,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.059066,-118.984112,,,,,,,,12/04/2014,Resolved,Inland
4415,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Orosi,36.544809,-119.206903,,,,,,,,12/11/2014,Resolved,Inland
4418,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Cutler,36.4935715,-119.2596507,60',,,,,,,01/08/2015,Resolved,Inland
4419,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0567652,-118.9719426,,,,,,,,01/15/2015,Resolved,Inland
4424,08/12/2016,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.1088607,-119.0428271,,,,,,,,01/30/2015,Outage,Inland
4429,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.062385,-118.996758,,,,,,,,02/12/2015,Resolved,Inland
4430,08/12/2016,Interim,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.206169,-119.467531,147',,,,,,,02/12/2015,Resolved,Inland
4433,08/12/2016,Interim,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.101117,-119.048372,115',,,,,,,03/06/2015,Resolved,Inland
4434,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.059056,-119.002956,,,,,,,,03/10/2015,Resolved,Inland
4435,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.055275,-118.997661,95 ft,,,,,,,03/06/2015,Resolved,Inland
4436,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0539739,-118.978769,,,,,,,,03/13/2015,Resolved,Inland
4437,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0616355,-118.9816815,,,,,,,,03/06/2015,Resolved,Inland
915,06/08/2015,Undefined,Dry well (groundwater),Household,,"
",05/01/2015,Stanislaus,Denair,37.583272,-120.773395,105',"
",,Pump Type: sub Pump setting (bgs): 110',103',,,06/08/2015,Outage,Inland
916,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",07/17/2014,Stanislaus,Turlock,37.5277987,-120.8490634,65',"
",,"Pump Type: 4"" sub Pump setting (bgs): 60'",60',,,10/16/2014,Outage,Inland
917,06/08/2015,Undefined,Dry well (groundwater),Household,,"
",07/06/2005,Stanislaus,Denair,37.578573,-120.800779,98',"
",,Pump Type: sub Pump setting (bgs): 86.0,80',,,06/08/2015,Outage,Inland
919,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",07/07/2014,Stanislaus,Denair,37.526323,-120.7968711,85?,"
",,,,,,10/16/2014,Outage,Inland
4439,08/12/2016,Interim,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.047795,-118.935423,,,,,,,,03/13/2015,Resolved,Inland
4440,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0614062,-118.9875618,,,,,,,,03/06/2015,Resolved,Inland
4441,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.060947,-118.997207,,,,,,,,03/06/2015,Resolved,Inland
4442,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.066903,-118.984441,,,,,,,,03/06/2015,Resolved,Inland
920,04/15/2015,Undefined,Dry well (groundwater),Household,,"
",03/30/2015,Stanislaus,Oakdale,37.7045885,-120.8483762,,"
",,,,,,04/15/2015,Outage,Inland
921,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",06/15/2014,Stanislaus,Ceres,37.561804,-120.929092,42',"
",,Pump Type: 1hp sub Pump setting (bgs): 40?,42',,,10/16/2014,Outage,Inland
922,06/08/2015,Undefined,Dry well (groundwater),Household,,"
",05/01/2014,Stanislaus,Denair,37.557279,-120.783506,105',"
",,Pump Type: sub Pump setting (bgs): 100',100',,,06/08/2015,Outage,Inland
923,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",07/24/2014,Stanislaus,Oakdale,37.807917,-120.889515,97',"
",,Pump Type: sub,95',,,10/16/2014,Outage,Inland
924,06/08/2015,Undefined,Dry well (groundwater),Household,,"
",04/01/2015,Stanislaus,Denair,37.54859700000001,-120.801849,104',"
",,Pump Type: sub Pump setting (bgs): 100',105',,,06/08/2015,Outage,Inland
925,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",07/01/2014,Stanislaus,Modesto,37.662173,-120.869109,120',"
",,Pump Type: 1 hp sub Pump setting (bgs): 90',,,,10/16/2014,Outage,Inland
926,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",,Stanislaus,Modesto,37.650807,-120.876135,145',"
",,Pump Type: ? Pump setting (bgs): 70',52',,,10/16/2014,Outage,Inland
927,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",07/16/2014,Stanislaus,Modesto,37.652614,-120.8941,88',"
",,Pump Type: sub? Pump setting (bgs): 75',60'??,,,10/16/2014,Outage,Inland
928,06/08/2015,Undefined,Dry well (groundwater),Household,,"
",07/06/2005,Stanislaus,Hughson,37.58296199999999,-120.834604,85',"
",,Pump Type: sub Pump setting (bgs): 85',80',,,06/08/2015,Outage,Inland
939,07/31/2015,Undefined,Dry well (groundwater),Household,,"
",05/15/2015,Stanislaus,Oakdale,37.755707,-120.819107,74',"
",,Pump Type: ? Pump setting (bgs): ?,63' of 6/4/15,,,07/31/2015,Outage,Inland
940,07/31/2015,Undefined,Dry well (groundwater),Household,,"
",,Stanislaus,Hickman,37.6357704,-120.7184909,,"
",,,,,,07/31/2015,Outage,Inland
941,07/31/2015,Undefined,Dry well (groundwater),Household,,"
",07/23/2015,Stanislaus,Turlock,37.4506008,-120.8671291,250',"
",,Pump Type: sub Pump setting (bgs): ~100',100' on 7/23/15,,,07/31/2015,Outage,Inland
942,07/31/2015,Undefined,Dry well (groundwater),Household,,"
",,Stanislaus,Oakdale,37.73886,-120.910673,,"
",,,,,,07/31/2015,Outage,Inland
943,07/31/2015,Undefined,Dry well (groundwater),Household,,"
",06/12/2015,Stanislaus,Modesto,37.712577,-120.933957,85',"
",,Pump Type: Sub Pump setting (bgs): 80',>85' on 6/19/15,,,07/31/2015,Outage,Inland
944,07/31/2015,Undefined,Dry well (groundwater),Household,,"
",06/15/2015,Stanislaus,Modesto,37.713636,-120.934441,80',"
",,Pump Type: sub? Pump setting (bgs): 76',76',,,07/31/2015,Outage,Inland
945,07/31/2015,Undefined,Dry well (groundwater),Household,,"
",,Stanislaus,Modesto,37.594515,-121.000266,,"
",,,,,,07/31/2015,Outage,Inland
946,07/31/2015,Undefined,Dry well (groundwater),Household,,"
",,Stanislaus,Patterson,37.457642,-121.128835,,"
",,,,,,07/31/2015,Outage,Inland
947,07/31/2015,Undefined,Dry well (groundwater),Household,,"
",01/02/2000,Stanislaus,Oakdale,37.729544,-120.91185,UNK,"
",,Pump Type: sub Pump setting (bgs): UNK,UNK,,,07/31/2015,Outage,Inland
948,07/31/2015,Undefined,Dry well (groundwater),Household,,"
",07/07/2005,Stanislaus,Hughson,37.579655,-120.875047,59',"
",,Pump Type: Sub Pump setting (bgs): 59',57' on 6/15/15,,,07/31/2015,Outage,Inland
949,12/12/2014,Undefined,Dry well (groundwater),Household,,"
",,Tuolumne,Sonora,38.00762599999999,-120.414521,,"
",,,,,,12/12/2014,Outage,Inland
950,12/12/2014,Undefined,Dry well (groundwater),Household,,"
",,Tuolumne,Sonora,38.0057735,-120.406486,,"
",,,,,,12/12/2014,Outage,Inland
951,12/16/2014,Undefined,Dry well (groundwater),Household,,"
",,Tuolumne,Columbia,38.045108,-120.368945,,"
",,,,,,12/16/2014,Outage,Inland
952,12/26/2014,Undefined,Dry well (groundwater),Household,,"
",,Tuolumne,Tuolumne,37.952856,-120.235776,,"
",,,,,,12/26/2014,Outage,Inland
953,10/31/2014,Undefined,Dry well (groundwater),Household,,"
",,Tuolumne,jamestown,37.959838,-120.413869,,"
",,,,,,10/31/2014,Outage,Inland
954,12/19/2014,Undefined,Dry well (groundwater),Household,,"
",,Tuolumne,Sonora,38.003669,-120.358729,,"
",,,,,,12/19/2014,Outage,Inland
955,12/26/2014,Undefined,Dry well (groundwater),Household,,"
",,Tuolumne,Columbia,38.046745,-120.39546,,"
",,,,,,12/26/2014,Outage,Inland
956,12/26/2014,Undefined,Dry well (groundwater),Household,,"
",,Tuolumne,Sonora,37.99051,-120.458642,,"
",,,,,,12/26/2014,Outage,Inland
878,06/16/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",06/16/2015,Madera,Madera,36.86602999999999,-119.963461,,"
",,,,,,06/16/2015,Outage,Inland
879,06/17/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",06/09/2015,Madera,Madera,37.013027,-120.059662,,"
",,,,,,06/17/2015,Outage,Inland
880,06/18/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",10/01/2014,Madera,Madera,37.0386219,-119.993584,,"
",,,,,,06/18/2015,Outage,Inland
881,06/18/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",06/01/2015,Madera,Madera,36.9234099,-120.139819,,"
",,,,,,06/18/2015,Outage,Inland
882,06/19/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",07/01/2014,Madera,Madera,37.045913,-120.001026,,"
",,,,,,06/19/2015,Outage,Inland
883,06/19/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",05/01/2015,Madera,Madera,36.9088939,-120.015221,,"
",,,,,,06/19/2015,Outage,Inland
884,06/19/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",06/16/2015,Madera,coarsegold,37.269298,-119.736783,,"
",,,,,,06/19/2015,Outage,Inland
885,06/22/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",06/15/2015,Madera,Madera,37.033973,-119.990408,,"
",,,,,,06/22/2015,Outage,Inland
886,06/22/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",06/01/2015,Madera,Coarsegold,37.234177,-119.761873,,"
",,,,,,06/22/2015,Outage,Inland
887,06/22/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",06/19/2015,Madera,Madera,36.9633899,-119.917652,,"
",,,,,,06/22/2015,Outage,Inland
888,06/23/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Fairmead Chowchilla,37.08828,-120.191288,,"
",,null.invalid 7/6/1905,,,,06/23/2015,Outage,Inland
889,06/23/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",06/01/2014,Madera,Madera,37.0431319,-120.0744771,,"
",,,,,,06/23/2015,Outage,Inland
890,06/24/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",03/01/2015,Madera,Northfork,37.251928,-119.555903,,"
",,,,,,06/24/2015,Outage,Inland
891,06/26/2015,Undefined,Dry well (groundwater),Household,renter-occupied,"
",04/01/2015,Madera,Madera,36.9949608,-119.9975391,,"
",,,,,,06/26/2015,Outage,Inland
892,06/29/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,madera,37.032961,-119.992137,,"
",,,,,,06/29/2015,Outage,Inland
895,08/06/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/06/2015,Madera,MADAERA,36.995631,-119.995174,,"No, cannot afford to finance solutions.
",,,,,,08/06/2015,Outage,Inland
897,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",,Stanislaus,Waterford,37.658389,-120.756328,,"
",,,,,,10/16/2014,Outage,Inland
898,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",07/23/2014,Stanislaus,Waterford,37.658639,-120.756348,110',"
",,Pump Type: 1 hp sub Pump setting (bgs): 107',86',,,10/16/2014,Outage,Inland
899,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",07/06/2005,Stanislaus,Denair,37.580659,-120.78125,97.0,"
",,Pump Type: sub Pump setting (bgs): 92.0,,,,10/16/2014,Outage,Inland
902,06/08/2015,Undefined,Dry well (groundwater),Household,,"
",05/01/2015,Stanislaus,Denair,37.549288,-120.772935,120',"
",,Pump Type: sub Pump setting (bgs): 120',120',,,06/08/2015,Outage,Inland
903,06/01/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is catching air, have to wait to be able to pump.
,Reduction in water quality
",02/08/2015,Stanislaus,Waterford,37.660179,-120.780557,,"No, on drilling wait list.
",,,unk,,Not sure,06/01/2015,Outage,Inland
904,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",05/12/2014,Stanislaus,Oakdale,37.7607659,-120.829178,89?,"
",,Pump Type: Sub Pump setting (bgs): 84?,None,,,10/16/2014,Outage,Inland
905,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",07/01/2014,Stanislaus,Ceres,37.566446,-121.012585,37?,"
",,,None,,,10/16/2014,Outage,Inland
906,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",06/02/2014,Stanislaus,Hughson,37.603746,-120.803733,120',"
",,Pump Type: sub,94',,,10/16/2014,Outage,Inland
907,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",07/14/2015,Stanislaus,Turlock,37.50983799999999,-120.805596,130',"
",,Pump Type: 2hp sub Pump setting (bgs): 120.0,100.0,,,10/16/2014,Outage,Inland
908,04/15/2015,Undefined,Dry well (groundwater),Household,,"
",,Stanislaus,Patterson,37.4700571,-121.0787634,,"
",,,,,,04/15/2015,Outage,Inland
909,06/08/2015,Undefined,Dry well (groundwater),Household,,"
",05/01/2015,Stanislaus,Denair,37.594094,-120.792829,112',"
",,Pump Type: sub Pump setting (bgs): 112',112',,,06/08/2015,Outage,Inland
910,05/22/2015,Undefined,Dry well (groundwater),Household,,"
",,Stanislaus,Denair,37.592628,-120.793401,,"
",,,,,,05/22/2015,Outage,Inland
911,06/08/2015,Undefined,Dry well (groundwater),Household,,"
",07/14/2015,Stanislaus,Denair,37.58882699999999,-120.7922306,90',"
",,Pump Type: sub Pump setting (bgs): 90',88',,,06/08/2015,Outage,Inland
912,10/16/2014,Undefined,Dry well (groundwater),Household,,"
",07/01/2014,Stanislaus,Riverbank,37.716772,-120.935913,73?,"
",,,,,,10/16/2014,Outage,Inland
913,06/08/2015,Undefined,Dry well (groundwater),Household,,"
",05/01/2015,Stanislaus,Hughson,37.586273,-120.893282,57',"
",,Pump Type: sub Pump setting (bgs): 51',~50',,,06/08/2015,Outage,Inland
914,06/25/2015,Undefined,Dry well (groundwater),Household,,"
",06/24/2015,Stanislaus,Modesto,37.63909719999999,-120.9968782,110',"
",,Pump setting (bgs): 65',,,,06/25/2015,Outage,Inland
840,05/28/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",07/06/2005,Madera,Madera (ranchos),36.935449,-119.870263,,"
",,,,,,05/28/2015,Outage,Inland
841,05/28/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Chowchilla,37.075544,-120.337496,,"
",,,,,,05/28/2015,Outage,Inland
842,05/28/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Chowchilla,37.075555,-120.336968,,"
",,,,,,05/28/2015,Outage,Inland
843,05/28/2015,Undefined,Dry well (groundwater),Household,,"
",,Madera,Madera,37.022383,-120.167207,,"
",,,,,,05/28/2015,Outage,Inland
844,05/28/2015,Undefined,Dry well (groundwater),Household,,"
",,Madera,Chowchilla,37.068154,-120.203596,,"
",,null.6/7 months ago,,,,05/28/2015,Outage,Inland
845,05/28/2015,Undefined,Dry well (groundwater),Household,,"
",,Madera,Madera,36.9019616,-120.1195531,,"
",,,,,,05/28/2015,Outage,Inland
846,05/28/2015,Undefined,Dry well (groundwater),Household,,"
",,Madera,Chowchilla,37.0764341,-120.1824224,,"
",,,,,,05/28/2015,Outage,Inland
847,05/28/2015,Undefined,Dry well (groundwater),Household,,"
",,Madera,Chowchilla,37.0769532,-120.182213,,"
",,,,,,05/28/2015,Outage,Inland
848,05/28/2015,Undefined,Dry well (groundwater),Household,,"
",,Madera,Chowchilla,37.0611869,-120.31714,,"
",,,,,,05/28/2015,Outage,Inland
849,05/28/2015,Undefined,Dry well (groundwater),Household,,"
",,Madera,Chowchilla,37.070505,-120.212675,,"
",,,,,,05/28/2015,Outage,Inland
850,05/28/2015,Undefined,Dry well (groundwater),Household,,"
",,Madera,Chowchilla,37.0980731,-120.1347805,,"
",,,,,,05/28/2015,Outage,Inland
851,05/28/2015,Undefined,Dry well (groundwater),Household,renter-occupied,"
",,Madera,Chowchilla,37.0933319,-120.212823,,"
",,,,,,05/28/2015,Outage,Inland
852,05/28/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Chowchilla,37.09897900000001,-120.129456,,"
",,null.3 years ago,,,,05/28/2015,Outage,Inland
853,05/28/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",06/01/2014,Madera,Madera,37.0535392,-120.082841,,"
",,,,,,05/28/2015,Outage,Inland
854,05/28/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Madera,36.992221,-120.0311,,"
",,null.Monday 5/25/2015,,,,05/28/2015,Outage,Inland
855,05/29/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",05/24/2015,Madera,Coarsegold,37.131591,-119.773177,,"
",,,,,,05/29/2015,Outage,Inland
856,05/29/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",10/01/2014,Madera,Madera,37.0453029,-119.985806,,"
",,,,,,05/29/2015,Outage,Inland
857,06/01/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",06/01/2015,Madera,Madera,37.065514,-120.007432,,"
",,,,,,06/01/2015,Outage,Inland
858,06/01/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",05/29/2015,Madera,Chowchilla,37.09591,-120.10572,,"
",,,,,,06/01/2015,Outage,Inland
859,06/02/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",04/15/2015,Madera,Oakhurst,37.386696,-119.6854,,"
",,,,,,06/02/2015,Outage,Inland
860,06/02/2015,Undefined,Dry well (groundwater),Household,,"
",03/23/2015,Madera,Madera,36.9671758,-120.0609831,,"
",,,,,,06/02/2015,Outage,Inland
861,06/02/2015,Undefined,Dry well (groundwater),Household,,"
",04/06/2015,Madera,Madera,36.9811989,-120.038978,,"
",,,,,,06/02/2015,Outage,Inland
862,06/02/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",05/28/2015,Madera,Madera,37.0417429,-119.987469,,"
",,,,,,06/02/2015,Outage,Inland
863,06/02/2015,Undefined,Dry well (groundwater),Household,,"
",04/15/2015,Madera,Raymond,37.219766,-119.902667,,"
",,,,,,06/02/2015,Outage,Inland
864,06/03/2015,Undefined,Dry well (groundwater),Household,owner-occupied,"
",,Madera,Madera,36.953007,-120.026747,,"
",,,,,,06/03/2015,Outage,Inland
